date,branch,department,total_beds,occupied_beds,total_icu_beds,occupied_icu_beds,staff_on_duty
2024-01-03,Branch A,Cardiology,67,34,13,12,17
2024-01-03,Branch A,Oncology,40,31,8,6,18
2024-01-03,Branch A,Orthopedics,45,30,9,9,20
2024-01-03,Branch A,Pediatrics,99,75,19,12,23
2024-01-03,Branch A,Emergency,99,75,19,11,35
2024-01-03,Branch A,General Medicine,118,90,23,12,17
2024-01-03,Branch B,Cardiology,115,66,23,18,14
2024-01-03,Branch B,Oncology,88,53,17,14,39
2024-01-03,Branch B,Orthopedics,87,59,17,15,32
2024-01-03,Branch B,Pediatrics,86,64,17,12,30
2024-01-03,Branch B,Emergency,60,26,12,11,15
2024-01-03,Branch B,General Medicine,104,94,20,20,13
2024-01-03,Branch C,Cardiology,90,68,18,17,12
2024-01-03,Branch C,Oncology,96,57,19,14,17
2024-01-03,Branch C,Orthopedics,103,76,20,18,34
2024-01-03,Branch C,Pediatrics,88,62,17,13,25
2024-01-03,Branch C,Emergency,105,79,21,13,25
2024-01-03,Branch C,General Medicine,56,45,11,5,23
2024-01-04,Branch A,Cardiology,77,57,15,12,37
2024-01-04,Branch A,Oncology,46,22,9,3,20
2024-01-04,Branch A,Orthopedics,74,62,14,6,13
2024-01-04,Branch A,Pediatrics,56,35,11,9,21
2024-01-04,Branch A,Emergency,111,94,22,14,34
2024-01-04,Branch A,General Medicine,104,58,20,20,19
2024-01-04,Branch B,Cardiology,70,57,14,14,20
2024-01-04,Branch B,Oncology,94,65,18,13,20
2024-01-04,Branch B,Orthopedics,87,58,17,12,22
2024-01-04,Branch B,Pediatrics,83,49,16,13,19
2024-01-04,Branch B,Emergency,105,94,21,18,36
2024-01-04,Branch B,General Medicine,90,76,18,13,15
2024-01-04,Branch C,Cardiology,89,69,17,11,11
2024-01-04,Branch C,Oncology,110,89,22,17,25
2024-01-04,Branch C,Orthopedics,73,49,14,10,30
2024-01-04,Branch C,Pediatrics,96,60,19,7,19
2024-01-04,Branch C,Emergency,89,77,17,17,38
2024-01-04,Branch C,General Medicine,77,53,15,8,22
2024-01-05,Branch A,Cardiology,79,46,15,13,38
2024-01-05,Branch A,Oncology,108,85,21,14,24
2024-01-05,Branch A,Orthopedics,40,25,8,5,20
2024-01-05,Branch A,Pediatrics,94,71,18,17,16
2024-01-05,Branch A,Emergency,61,45,12,8,27
2024-01-05,Branch A,General Medicine,100,84,20,20,19
2024-01-05,Branch B,Cardiology,57,49,11,7,30
2024-01-05,Branch B,Oncology,79,54,15,6,12
2024-01-05,Branch B,Orthopedics,114,104,22,17,12
2024-01-05,Branch B,Pediatrics,82,61,16,16,31
2024-01-05,Branch B,Emergency,54,27,10,7,22
2024-01-05,Branch B,General Medicine,53,49,10,10,22
2024-01-05,Branch C,Cardiology,86,73,17,14,27
2024-01-05,Branch C,Oncology,114,104,22,17,25
2024-01-05,Branch C,Orthopedics,94,68,18,16,30
2024-01-05,Branch C,Pediatrics,98,76,19,11,21
2024-01-05,Branch C,Emergency,67,46,13,5,32
2024-01-05,Branch C,General Medicine,86,63,17,15,17
2024-01-06,Branch A,Cardiology,95,70,19,16,39
2024-01-06,Branch A,Oncology,84,65,16,11,14
2024-01-06,Branch A,Orthopedics,72,44,14,13,32
2024-01-06,Branch A,Pediatrics,113,92,22,16,18
2024-01-06,Branch A,Emergency,114,89,22,13,28
2024-01-06,Branch A,General Medicine,60,60,12,12,16
2024-01-06,Branch B,Cardiology,75,57,15,14,31
2024-01-06,Branch B,Oncology,50,45,10,10,23
2024-01-06,Branch B,Orthopedics,69,45,13,8,36
2024-01-06,Branch B,Pediatrics,89,77,17,16,32
2024-01-06,Branch B,Emergency,65,36,13,10,24
2024-01-06,Branch B,General Medicine,100,74,20,17,36
2024-01-06,Branch C,Cardiology,79,51,15,15,39
2024-01-06,Branch C,Oncology,52,36,10,8,35
2024-01-06,Branch C,Orthopedics,70,66,14,14,13
2024-01-06,Branch C,Pediatrics,115,87,23,16,25
2024-01-06,Branch C,Emergency,84,65,16,12,11
2024-01-06,Branch C,General Medicine,93,72,18,12,19
2024-01-07,Branch A,Cardiology,66,41,13,10,31
2024-01-07,Branch A,Oncology,68,46,13,6,24
2024-01-07,Branch A,Orthopedics,89,53,17,14,11
2024-01-07,Branch A,Pediatrics,119,93,23,19,26
2024-01-07,Branch A,Emergency,64,45,12,8,15
2024-01-07,Branch A,General Medicine,51,51,10,5,11
2024-01-07,Branch B,Cardiology,43,30,8,7,39
2024-01-07,Branch B,Oncology,76,55,15,15,10
2024-01-07,Branch B,Orthopedics,69,52,13,8,31
2024-01-07,Branch B,Pediatrics,63,40,12,10,28
2024-01-07,Branch B,Emergency,112,81,22,17,30
2024-01-07,Branch B,General Medicine,77,49,15,15,22
2024-01-07,Branch C,Cardiology,100,89,20,13,33
2024-01-07,Branch C,Oncology,66,41,13,11,34
2024-01-07,Branch C,Orthopedics,52,17,10,4,28
2024-01-07,Branch C,Pediatrics,115,80,23,20,34
2024-01-07,Branch C,Emergency,85,84,17,13,30
2024-01-07,Branch C,General Medicine,93,65,18,9,12
2024-01-08,Branch A,Cardiology,91,73,18,18,38
2024-01-08,Branch A,Oncology,42,15,8,7,35
2024-01-08,Branch A,Orthopedics,51,43,10,10,39
2024-01-08,Branch A,Pediatrics,57,46,11,10,19
2024-01-08,Branch A,Emergency,95,65,19,17,32
2024-01-08,Branch A,General Medicine,86,62,17,17,18
2024-01-08,Branch B,Cardiology,97,90,19,19,27
2024-01-08,Branch B,Oncology,77,60,15,10,32
2024-01-08,Branch B,Orthopedics,78,39,15,12,19
2024-01-08,Branch B,Pediatrics,55,44,11,10,21
2024-01-08,Branch B,Emergency,47,37,9,5,31
2024-01-08,Branch B,General Medicine,85,69,17,11,27
2024-01-08,Branch C,Cardiology,90,57,18,18,28
2024-01-08,Branch C,Oncology,47,40,9,3,20
2024-01-08,Branch C,Orthopedics,104,73,20,14,34
2024-01-08,Branch C,Pediatrics,49,35,9,3,23
2024-01-08,Branch C,Emergency,55,38,11,4,13
2024-01-08,Branch C,General Medicine,52,49,10,10,30
2024-01-09,Branch A,Cardiology,118,83,23,17,18
2024-01-09,Branch A,Oncology,84,64,16,13,23
2024-01-09,Branch A,Orthopedics,97,76,19,15,20
2024-01-09,Branch A,Pediatrics,69,64,13,7,24
2024-01-09,Branch A,Emergency,47,17,9,4,10
2024-01-09,Branch A,General Medicine,111,87,22,19,30
2024-01-09,Branch B,Cardiology,116,82,23,20,24
2024-01-09,Branch B,Oncology,58,39,11,7,34
2024-01-09,Branch B,Orthopedics,68,61,13,5,17
2024-01-09,Branch B,Pediatrics,78,39,15,14,18
2024-01-09,Branch B,Emergency,98,82,19,12,25
2024-01-09,Branch B,General Medicine,100,97,20,17,16
2024-01-09,Branch C,Cardiology,61,29,12,12,24
2024-01-09,Branch C,Oncology,71,59,14,10,38
2024-01-09,Branch C,Orthopedics,104,92,20,14,26
2024-01-09,Branch C,Pediatrics,62,28,12,11,21
2024-01-09,Branch C,Emergency,87,82,17,14,19
2024-01-09,Branch C,General Medicine,90,80,18,7,29
2024-01-10,Branch A,Cardiology,72,37,14,12,15
2024-01-10,Branch A,Oncology,51,36,10,8,12
2024-01-10,Branch A,Orthopedics,107,97,21,15,27
2024-01-10,Branch A,Pediatrics,66,40,13,13,13
2024-01-10,Branch A,Emergency,106,92,21,14,22
2024-01-10,Branch A,General Medicine,42,23,8,4,26
2024-01-10,Branch B,Cardiology,58,38,11,8,26
2024-01-10,Branch B,Oncology,93,58,18,17,33
2024-01-10,Branch B,Orthopedics,102,89,20,13,28
2024-01-10,Branch B,Pediatrics,58,52,11,4,18
2024-01-10,Branch B,Emergency,92,69,18,12,25
2024-01-10,Branch B,General Medicine,62,50,12,9,33
2024-01-10,Branch C,Cardiology,96,67,19,16,11
2024-01-10,Branch C,Oncology,69,62,13,11,35
2024-01-10,Branch C,Orthopedics,47,27,9,7,26
2024-01-10,Branch C,Pediatrics,60,42,12,6,18
2024-01-10,Branch C,Emergency,113,95,22,18,37
2024-01-10,Branch C,General Medicine,68,42,13,9,30
2024-01-11,Branch A,Cardiology,90,85,18,13,19
2024-01-11,Branch A,Oncology,111,78,22,14,32
2024-01-11,Branch A,Orthopedics,69,63,13,12,37
2024-01-11,Branch A,Pediatrics,78,62,15,12,29
2024-01-11,Branch A,Emergency,72,34,14,8,37
2024-01-11,Branch A,General Medicine,83,62,16,14,18
2024-01-11,Branch B,Cardiology,109,86,21,18,36
2024-01-11,Branch B,Oncology,116,96,23,18,22
2024-01-11,Branch B,Orthopedics,74,54,14,14,15
2024-01-11,Branch B,Pediatrics,118,81,23,20,35
2024-01-11,Branch B,Emergency,75,65,15,12,38
2024-01-11,Branch B,General Medicine,65,52,13,8,25
2024-01-11,Branch C,Cardiology,40,40,8,4,30
2024-01-11,Branch C,Oncology,54,49,10,7,33
2024-01-11,Branch C,Orthopedics,76,53,15,13,15
2024-01-11,Branch C,Pediatrics,80,52,16,7,36
2024-01-11,Branch C,Emergency,52,33,10,10,31
2024-01-11,Branch C,General Medicine,85,50,17,16,33
2024-01-12,Branch A,Cardiology,96,78,19,10,11
2024-01-12,Branch A,Oncology,57,52,11,8,31
2024-01-12,Branch A,Orthopedics,101,86,20,15,31
2024-01-12,Branch A,Pediatrics,102,91,20,9,12
2024-01-12,Branch A,Emergency,104,87,20,17,27
2024-01-12,Branch A,General Medicine,67,49,13,10,25
2024-01-12,Branch B,Cardiology,70,70,14,14,23
2024-01-12,Branch B,Oncology,77,56,15,14,23
2024-01-12,Branch B,Orthopedics,101,68,20,13,15
2024-01-12,Branch B,Pediatrics,78,78,15,10,26
2024-01-12,Branch B,Emergency,72,32,14,14,21
2024-01-12,Branch B,General Medicine,116,81,23,16,13
2024-01-12,Branch C,Cardiology,116,84,23,19,31
2024-01-12,Branch C,Oncology,111,69,22,14,16
2024-01-12,Branch C,Orthopedics,104,77,20,12,10
2024-01-12,Branch C,Pediatrics,97,74,19,16,33
2024-01-12,Branch C,Emergency,50,31,10,7,35
2024-01-12,Branch C,General Medicine,73,57,14,13,13
2024-01-13,Branch A,Cardiology,66,44,13,10,25
2024-01-13,Branch A,Oncology,46,32,9,5,37
2024-01-13,Branch A,Orthopedics,113,72,22,16,29
2024-01-13,Branch A,Pediatrics,72,52,14,11,38
2024-01-13,Branch A,Emergency,61,58,12,7,23
2024-01-13,Branch A,General Medicine,81,74,16,16,32
2024-01-13,Branch B,Cardiology,81,70,16,13,28
2024-01-13,Branch B,Oncology,61,37,12,7,29
2024-01-13,Branch B,Orthopedics,62,37,12,6,22
2024-01-13,Branch B,Pediatrics,59,41,11,10,22
2024-01-13,Branch B,Emergency,42,19,8,1,16
2024-01-13,Branch B,General Medicine,56,28,11,11,29
2024-01-13,Branch C,Cardiology,47,27,9,7,29
2024-01-13,Branch C,Oncology,54,28,10,5,21
2024-01-13,Branch C,Orthopedics,65,65,13,11,23
2024-01-13,Branch C,Pediatrics,90,80,18,16,28
2024-01-13,Branch C,Emergency,71,48,14,12,29
2024-01-13,Branch C,General Medicine,82,52,16,14,27
2024-01-14,Branch A,Cardiology,113,75,22,14,15
2024-01-14,Branch A,Oncology,100,81,20,20,33
2024-01-14,Branch A,Orthopedics,105,88,21,15,27
2024-01-14,Branch A,Pediatrics,108,91,21,16,25
2024-01-14,Branch A,Emergency,45,25,9,-1,22
2024-01-14,Branch A,General Medicine,78,55,15,5,32
2024-01-14,Branch B,Cardiology,112,79,22,21,21
2024-01-14,Branch B,Oncology,114,72,22,20,26
2024-01-14,Branch B,Orthopedics,91,51,18,17,19
2024-01-14,Branch B,Pediatrics,71,47,14,9,18
2024-01-14,Branch B,Emergency,67,58,13,7,35
2024-01-14,Branch B,General Medicine,107,67,21,21,34
2024-01-14,Branch C,Cardiology,111,85,22,17,12
2024-01-14,Branch C,Oncology,63,58,12,5,13
2024-01-14,Branch C,Orthopedics,109,90,21,21,35
2024-01-14,Branch C,Pediatrics,87,66,17,12,35
2024-01-14,Branch C,Emergency,103,77,20,13,19
2024-01-14,Branch C,General Medicine,95,85,19,18,20
2024-01-15,Branch A,Cardiology,71,71,14,11,39
2024-01-15,Branch A,Oncology,78,56,15,12,11
2024-01-15,Branch A,Orthopedics,57,45,11,9,11
2024-01-15,Branch A,Pediatrics,58,24,11,9,14
2024-01-15,Branch A,Emergency,69,63,13,11,34
2024-01-15,Branch A,General Medicine,52,26,10,9,26
2024-01-15,Branch B,Cardiology,42,42,8,6,34
2024-01-15,Branch B,Oncology,56,34,11,9,36
2024-01-15,Branch B,Orthopedics,99,55,19,14,35
2024-01-15,Branch B,Pediatrics,108,77,21,16,21
2024-01-15,Branch B,Emergency,107,73,21,10,12
2024-01-15,Branch B,General Medicine,68,43,13,13,22
2024-01-15,Branch C,Cardiology,116,112,23,17,33
2024-01-15,Branch C,Oncology,93,57,18,17,12
2024-01-15,Branch C,Orthopedics,75,60,15,15,10
2024-01-15,Branch C,Pediatrics,87,83,17,13,38
2024-01-15,Branch C,Emergency,119,106,23,15,27
2024-01-15,Branch C,General Medicine,44,33,8,7,35
2024-01-16,Branch A,Cardiology,45,45,9,2,20
2024-01-16,Branch A,Oncology,57,45,11,8,32
2024-01-16,Branch A,Orthopedics,41,39,8,5,36
2024-01-16,Branch A,Pediatrics,64,48,12,12,30
2024-01-16,Branch A,Emergency,73,49,14,14,39
2024-01-16,Branch A,General Medicine,102,76,20,20,20
2024-01-16,Branch B,Cardiology,106,83,21,13,19
2024-01-16,Branch B,Oncology,108,70,21,13,17
2024-01-16,Branch B,Orthopedics,111,70,22,18,31
2024-01-16,Branch B,Pediatrics,91,66,18,12,22
2024-01-16,Branch B,Emergency,95,67,19,9,30
2024-01-16,Branch B,General Medicine,42,30,8,8,23
2024-01-16,Branch C,Cardiology,45,22,9,8,13
2024-01-16,Branch C,Oncology,101,68,20,13,18
2024-01-16,Branch C,Orthopedics,80,52,16,15,16
2024-01-16,Branch C,Pediatrics,96,64,19,13,11
2024-01-16,Branch C,Emergency,89,88,17,15,33
2024-01-16,Branch C,General Medicine,93,71,18,18,23
2024-01-17,Branch A,Cardiology,73,44,14,7,15
2024-01-17,Branch A,Oncology,106,90,21,16,30
2024-01-17,Branch A,Orthopedics,61,46,12,9,22
2024-01-17,Branch A,Pediatrics,56,44,11,10,20
2024-01-17,Branch A,Emergency,100,68,20,19,18
2024-01-17,Branch A,General Medicine,112,75,22,20,30
2024-01-17,Branch B,Cardiology,97,63,19,14,31
2024-01-17,Branch B,Oncology,53,53,10,3,25
2024-01-17,Branch B,Orthopedics,72,38,14,11,22
2024-01-17,Branch B,Pediatrics,45,45,9,8,15
2024-01-17,Branch B,Emergency,90,65,18,17,11
2024-01-17,Branch B,General Medicine,102,79,20,16,38
2024-01-17,Branch C,Cardiology,64,44,12,11,30
2024-01-17,Branch C,Oncology,93,76,18,11,19
2024-01-17,Branch C,Orthopedics,70,43,14,10,27
2024-01-17,Branch C,Pediatrics,52,44,10,9,20
2024-01-17,Branch C,Emergency,76,65,15,11,33
2024-01-17,Branch C,General Medicine,92,50,18,14,22
2024-01-18,Branch A,Cardiology,91,79,18,17,35
2024-01-18,Branch A,Oncology,62,50,12,5,14
2024-01-18,Branch A,Orthopedics,106,92,21,12,13
2024-01-18,Branch A,Pediatrics,92,80,18,13,20
2024-01-18,Branch A,Emergency,109,80,21,16,19
2024-01-18,Branch A,General Medicine,118,103,23,21,39
2024-01-18,Branch B,Cardiology,79,54,15,15,16
2024-01-18,Branch B,Oncology,43,43,8,8,19
2024-01-18,Branch B,Orthopedics,44,42,8,8,18
2024-01-18,Branch B,Pediatrics,68,54,13,10,31
2024-01-18,Branch B,Emergency,81,55,16,13,14
2024-01-18,Branch B,General Medicine,75,51,15,15,30
2024-01-18,Branch C,Cardiology,93,71,18,18,27
2024-01-18,Branch C,Oncology,48,16,9,7,15
2024-01-18,Branch C,Orthopedics,61,59,12,3,36
2024-01-18,Branch C,Pediatrics,70,44,14,7,27
2024-01-18,Branch C,Emergency,109,84,21,15,37
2024-01-18,Branch C,General Medicine,63,57,12,7,25
2024-01-19,Branch A,Cardiology,52,29,10,3,31
2024-01-19,Branch A,Oncology,46,43,9,4,15
2024-01-19,Branch A,Orthopedics,56,28,11,4,27
2024-01-19,Branch A,Pediatrics,104,94,20,15,20
2024-01-19,Branch A,Emergency,86,52,17,12,34
2024-01-19,Branch A,General Medicine,73,44,14,13,24
2024-01-19,Branch B,Cardiology,69,59,13,9,32
2024-01-19,Branch B,Oncology,98,60,19,12,19
2024-01-19,Branch B,Orthopedics,107,75,21,10,33
2024-01-19,Branch B,Pediatrics,86,58,17,16,21
2024-01-19,Branch B,Emergency,67,31,13,9,33
2024-01-19,Branch B,General Medicine,41,29,8,8,25
2024-01-19,Branch C,Cardiology,112,76,22,18,12
2024-01-19,Branch C,Oncology,100,68,20,13,30
2024-01-19,Branch C,Orthopedics,43,25,8,4,14
2024-01-19,Branch C,Pediatrics,69,39,13,4,20
2024-01-19,Branch C,Emergency,63,54,12,9,18
2024-01-19,Branch C,General Medicine,101,78,20,13,21
2024-01-20,Branch A,Cardiology,95,62,19,17,25
2024-01-20,Branch A,Oncology,116,94,23,14,23
2024-01-20,Branch A,Orthopedics,58,41,11,10,20
2024-01-20,Branch A,Pediatrics,108,77,21,14,15
2024-01-20,Branch A,Emergency,112,91,22,15,31
2024-01-20,Branch A,General Medicine,92,70,18,17,10
2024-01-20,Branch B,Cardiology,112,85,22,18,22
2024-01-20,Branch B,Oncology,59,51,11,6,22
2024-01-20,Branch B,Orthopedics,108,85,21,18,19
2024-01-20,Branch B,Pediatrics,54,51,10,7,23
2024-01-20,Branch B,Emergency,89,70,17,16,25
2024-01-20,Branch B,General Medicine,74,44,14,7,37
2024-01-20,Branch C,Cardiology,56,44,11,10,18
2024-01-20,Branch C,Oncology,86,82,17,11,10
2024-01-20,Branch C,Orthopedics,110,92,22,22,37
2024-01-20,Branch C,Pediatrics,74,50,14,14,28
2024-01-20,Branch C,Emergency,72,49,14,9,19
2024-01-20,Branch C,General Medicine,114,89,22,22,13
2024-01-21,Branch A,Cardiology,47,47,9,4,22
2024-01-21,Branch A,Oncology,93,69,18,14,10
2024-01-21,Branch A,Orthopedics,76,57,15,11,27
2024-01-21,Branch A,Pediatrics,68,50,13,6,10
2024-01-21,Branch A,Emergency,40,40,8,8,31
2024-01-21,Branch A,General Medicine,51,51,10,9,23
2024-01-21,Branch B,Cardiology,69,44,13,12,10
2024-01-21,Branch B,Oncology,69,46,13,10,36
2024-01-21,Branch B,Orthopedics,89,81,17,12,11
2024-01-21,Branch B,Pediatrics,53,52,10,10,18
2024-01-21,Branch B,Emergency,78,69,15,15,18
2024-01-21,Branch B,General Medicine,95,62,19,18,12
2024-01-21,Branch C,Cardiology,65,59,13,13,29
2024-01-21,Branch C,Oncology,80,57,16,14,16
2024-01-21,Branch C,Orthopedics,92,72,18,12,16
2024-01-21,Branch C,Pediatrics,48,26,9,5,24
2024-01-21,Branch C,Emergency,69,44,13,13,27
2024-01-21,Branch C,General Medicine,54,52,10,7,14
2024-01-22,Branch A,Cardiology,64,53,12,8,26
2024-01-22,Branch A,Oncology,88,64,17,14,13
2024-01-22,Branch A,Orthopedics,88,68,17,17,34
2024-01-22,Branch A,Pediatrics,108,81,21,10,10
2024-01-22,Branch A,Emergency,89,61,17,14,33
2024-01-22,Branch A,General Medicine,96,77,19,4,37
2024-01-22,Branch B,Cardiology,115,83,23,14,18
2024-01-22,Branch B,Oncology,117,85,23,12,21
2024-01-22,Branch B,Orthopedics,89,65,17,10,10
2024-01-22,Branch B,Pediatrics,80,73,16,11,32
2024-01-22,Branch B,Emergency,94,69,18,8,26
2024-01-22,Branch B,General Medicine,69,57,13,9,39
2024-01-22,Branch C,Cardiology,83,50,16,10,18
2024-01-22,Branch C,Oncology,88,64,17,13,26
2024-01-22,Branch C,Orthopedics,81,64,16,15,22
2024-01-22,Branch C,Pediatrics,57,41,11,8,29
2024-01-22,Branch C,Emergency,50,32,10,6,26
2024-01-22,Branch C,General Medicine,106,90,21,15,24
2024-01-23,Branch A,Cardiology,51,15,10,8,21
2024-01-23,Branch A,Oncology,53,42,10,9,12
2024-01-23,Branch A,Orthopedics,48,26,9,2,17
2024-01-23,Branch A,Pediatrics,110,59,22,22,27
2024-01-23,Branch A,Emergency,88,77,17,9,24
2024-01-23,Branch A,General Medicine,65,57,13,7,32
2024-01-23,Branch B,Cardiology,44,28,8,4,15
2024-01-23,Branch B,Oncology,64,37,12,12,27
2024-01-23,Branch B,Orthopedics,99,96,19,18,23
2024-01-23,Branch B,Pediatrics,87,80,17,14,15
2024-01-23,Branch B,Emergency,103,73,20,19,13
2024-01-23,Branch B,General Medicine,52,34,10,9,35
2024-01-23,Branch C,Cardiology,73,62,14,8,11
2024-01-23,Branch C,Oncology,82,67,16,10,11
2024-01-23,Branch C,Orthopedics,84,54,16,16,10
2024-01-23,Branch C,Pediatrics,81,75,16,13,28
2024-01-23,Branch C,Emergency,95,64,19,14,11
2024-01-23,Branch C,General Medicine,66,61,13,13,16
2024-01-24,Branch A,Cardiology,99,71,19,15,10
2024-01-24,Branch A,Oncology,101,88,20,18,26
2024-01-24,Branch A,Orthopedics,48,29,9,5,20
2024-01-24,Branch A,Pediatrics,65,42,13,5,31
2024-01-24,Branch A,Emergency,108,81,21,15,10
2024-01-24,Branch A,General Medicine,57,47,11,8,16
2024-01-24,Branch B,Cardiology,91,91,18,14,16
2024-01-24,Branch B,Oncology,41,26,8,4,28
2024-01-24,Branch B,Orthopedics,86,83,17,10,19
2024-01-24,Branch B,Pediatrics,53,28,10,10,14
2024-01-24,Branch B,Emergency,65,35,13,13,20
2024-01-24,Branch B,General Medicine,66,30,13,7,24
2024-01-24,Branch C,Cardiology,45,34,9,6,14
2024-01-24,Branch C,Oncology,87,50,17,14,30
2024-01-24,Branch C,Orthopedics,97,69,19,14,15
2024-01-24,Branch C,Pediatrics,74,47,14,13,13
2024-01-24,Branch C,Emergency,86,51,17,14,30
2024-01-24,Branch C,General Medicine,50,32,10,6,26
2024-01-25,Branch A,Cardiology,59,42,11,10,18
2024-01-25,Branch A,Oncology,43,12,8,6,24
2024-01-25,Branch A,Orthopedics,78,54,15,9,25
2024-01-25,Branch A,Pediatrics,62,57,12,10,33
2024-01-25,Branch A,Emergency,51,51,10,5,14
2024-01-25,Branch A,General Medicine,105,72,21,13,15
2024-01-25,Branch B,Cardiology,85,63,17,12,39
2024-01-25,Branch B,Oncology,43,36,8,3,35
2024-01-25,Branch B,Orthopedics,92,79,18,16,11
2024-01-25,Branch B,Pediatrics,74,54,14,10,20
2024-01-25,Branch B,Emergency,63,42,12,10,21
2024-01-25,Branch B,General Medicine,113,78,22,19,37
2024-01-25,Branch C,Cardiology,60,50,12,10,33
2024-01-25,Branch C,Oncology,41,9,8,1,29
2024-01-25,Branch C,Orthopedics,104,88,20,12,22
2024-01-25,Branch C,Pediatrics,80,77,16,11,35
2024-01-25,Branch C,Emergency,62,47,12,12,33
2024-01-25,Branch C,General Medicine,96,72,19,19,13
2024-01-26,Branch A,Cardiology,114,77,22,15,28
2024-01-26,Branch A,Oncology,41,12,8,5,29
2024-01-26,Branch A,Orthopedics,59,49,11,9,38
2024-01-26,Branch A,Pediatrics,48,39,9,7,22
2024-01-26,Branch A,Emergency,91,75,18,8,16
2024-01-26,Branch A,General Medicine,79,45,15,13,33
2024-01-26,Branch B,Cardiology,96,80,19,15,38
2024-01-26,Branch B,Oncology,119,89,23,19,17
2024-01-26,Branch B,Orthopedics,59,55,11,5,16
2024-01-26,Branch B,Pediatrics,117,70,23,16,32
2024-01-26,Branch B,Emergency,58,58,11,11,31
2024-01-26,Branch B,General Medicine,73,46,14,4,38
2024-01-26,Branch C,Cardiology,101,70,20,13,25
2024-01-26,Branch C,Oncology,94,83,18,17,26
2024-01-26,Branch C,Orthopedics,57,13,11,9,24
2024-01-26,Branch C,Pediatrics,104,70,20,14,22
2024-01-26,Branch C,Emergency,86,62,17,17,28
2024-01-26,Branch C,General Medicine,49,46,9,6,15
2024-01-27,Branch A,Cardiology,98,80,19,13,39
2024-01-27,Branch A,Oncology,60,37,12,6,27
2024-01-27,Branch A,Orthopedics,57,47,11,6,14
2024-01-27,Branch A,Pediatrics,99,70,19,19,36
2024-01-27,Branch A,Emergency,114,82,22,18,11
2024-01-27,Branch A,General Medicine,81,58,16,16,22
2024-01-27,Branch B,Cardiology,83,65,16,12,17
2024-01-27,Branch B,Oncology,114,79,22,19,29
2024-01-27,Branch B,Orthopedics,98,79,19,12,27
2024-01-27,Branch B,Pediatrics,53,43,10,8,38
2024-01-27,Branch B,Emergency,61,50,12,9,38
2024-01-27,Branch B,General Medicine,97,89,19,12,27
2024-01-27,Branch C,Cardiology,114,78,22,22,32
2024-01-27,Branch C,Oncology,80,56,16,9,32
2024-01-27,Branch C,Orthopedics,90,65,18,10,16
2024-01-27,Branch C,Pediatrics,119,87,23,20,34
2024-01-27,Branch C,Emergency,50,39,10,10,29
2024-01-27,Branch C,General Medicine,59,39,11,10,13
2024-01-28,Branch A,Cardiology,40,23,8,7,17
2024-01-28,Branch A,Oncology,66,60,13,10,16
2024-01-28,Branch A,Orthopedics,77,51,15,10,35
2024-01-28,Branch A,Pediatrics,47,39,9,9,23
2024-01-28,Branch A,Emergency,52,49,10,2,21
2024-01-28,Branch A,General Medicine,61,39,12,9,10
2024-01-28,Branch B,Cardiology,87,63,17,16,19
2024-01-28,Branch B,Oncology,97,82,19,16,30
2024-01-28,Branch B,Orthopedics,91,71,18,14,14
2024-01-28,Branch B,Pediatrics,58,58,11,9,13
